280 0 0;265 0 0;255 0 0;240 0 0;225 0 0;210 0 0;195 0 0;180 0 0;165 0 0;150 0 0;135 0 0;120 0 0;105 0 0;90 0 0;75 0 0;60 0 0;45 0 0;30 0 0;
280 4 0;265 4 0;255 4 0;240 4 0;225 4 0;210 4 0;195 4 0;180 4 0;165 4 0;150 4 0;135 4 0;120 4 0;105 4 0;90 4 0;75 4 0;60 4 0;45 4 0;30 4 0;
280 9 0;265 9 0;255 9 0;240 9 0;225 9 0;210 9 0;195 9 0;180 9 0;165 9 0;150 9 0;135 9 0;120 9 0;105 9 0;90 9 0;75 9 0;60 9 0;45 9 0;30 9 0;
280 20 0;265 20 0;255 20 0;240 20 0;225 20 0;210 20 0;195 20 0;180 20 0;165 20 0;150 20 0;135 20 0;120 20 0;105 20 0;90 20 0;75 20 0;60 20 0;45 20 0;30 20 0;
280 31 0;265 31 0;255 31 0;240 31 0;225 31 0;210 31 0;195 31 0;180 31 0;165 31 0;150 31 0;135 31 0;120 31 0;105 31 0;90 31 0;75 31 0;60 31 0;45 31 0;30 31 0;
280 46 0;265 46 0;255 46 0;240 46 0;225 46 0;210 46 0;195 46 0;180 46 0;165 46 0;150 46 0;135 46 0;120 46 0;105 46 0;90 46 0;75 46 0;60 46 0;45 46 0;30 46 0;
280 62 0;265 62 0;255 62 0;240 62 0;225 62 0;210 62 0;195 62 0;180 62 0;165 62 0;150 62 0;135 62 0;120 62 0;105 62 0;90 62 0;75 62 0;60 62 0;45 62 0;30 62 0;
280 77 0;265 77 0;255 77 0;240 77 0;225 77 0;210 77 0;195 77 0;180 77 0;165 77 0;150 77 0;135 77 0;120 77 0;105 77 0;90 77 0;75 77 0;60 77 0;45 77 0;30 77 0;
280 94 0;265 94 0;255 94 0;240 94 0;225 94 0;210 94 0;195 94 0;180 94 0;165 94 0;150 94 0;135 94 0;120 94 0;105 94 0;90 94 0;75 94 0;60 94 0;45 94 0;30 94 0;
280 110 0;265 110 0;255 110 0;240 110 0;225 110 0;210 110 0;195 110 0;180 110 0;165 110 0;150 110 0;135 110 0;120 110 0;105 110 0;90 110 0;75 110 0;60 110 0;45 110 0;30 110 0;
280 126 0;265 126 0;255 126 0;240 126 0;225 126 0;210 126 0;195 126 0;180 126 0;165 126 0;150 126 0;135 126 0;120 126 0;105 126 0;90 126 0;75 126 0;60 126 0;45 126 0;30 126 0;
280 140 0;265 140 0;255 140 0;240 140 0;225 140 0;210 140 0;195 140 0;180 140 0;165 140 0;150 140 0;135 140 0;120 140 0;105 140 0;90 140 0;75 140 0;60 140 0;45 140 0;30 140 0;
280 153 0;265 153 0;255 153 0;240 153 0;225 153 0;210 153 0;195 153 0;180 153 0;165 153 0;150 153 0;135 153 0;120 153 0;105 153 0;90 153 0;75 153 0;60 153 0;45 153 0;30 153 0;
280 164 0;265 164 0;255 164 0;240 164 0;225 164 0;210 164 0;195 164 0;180 164 0;165 164 0;150 164 0;135 164 0;120 164 0;105 164 0;90 164 0;75 164 0;60 164 0;45 164 0;30 164 0;
280 172 0;265 172 0;255 172 0;240 172 0;225 172 0;210 172 0;195 172 0;180 172 0;165 172 0;150 172 0;135 172 0;120 172 0;105 172 0;90 172 0;75 172 0;60 172 0;45 172 0;30 172 0;
280 180 0;265 180 0;255 180 0;240 180 0;225 180 0;210 180 0;195 180 0;180 180 0;165 180 0;150 180 0;135 180 0;120 180 0;105 180 0;90 180 0;75 180 0;60 180 0;45 180 0;30 180 0;
280 188 0;265 188 0;255 188 0;240 188 0;225 188 0;210 188 0;195 188 0;180 188 0;165 188 0;150 188 0;135 188 0;120 188 0;105 188 0;90 188 0;75 188 0;60 188 0;45 188 0;30 188 0;
280 196 0;265 196 0;255 196 0;240 196 0;225 196 0;210 196 0;195 196 0;180 196 0;165 196 0;150 196 0;135 196 0;120 196 0;105 196 0;90 196 0;75 196 0;60 196 0;45 196 0;30 196 0;
